"displayName","drugGroups","name","primary_seed","rank","score","selected","shared name","type"
"TTPA",,"entrez.7274","true",,,"true","entrez.7274","Gene"
"TUB",,"entrez.7275","true",,,"true","entrez.7275","Gene"
"CROCC",,"entrez.9696","true",,,"true","entrez.9696","Gene"
"CLOCK",,"entrez.9575",,,,"false","entrez.9575","Gene"
"USH2A",,"entrez.7399","true",,,"true","entrez.7399","Gene"
,,"entrez.83394","true",,,"true","entrez.83394","Gene"
"CAPNS1",,"entrez.826",,,,"false","entrez.826","Gene"
"OFD1",,"entrez.8481","true",,,"true","entrez.8481","Gene"
"CTBP2",,"entrez.1488",,,,"false","entrez.1488","Gene"
,,"entrez.49855","true",,,"true","entrez.49855","Gene"
,,"entrez.79947","true",,,"true","entrez.79947","Gene"
"DNAJB2",,"entrez.3300",,,,"false","entrez.3300","Gene"
"CHM",,"entrez.1121","true",,,"true","entrez.1121","Gene"
,,"entrez.55857","true",,,"true","entrez.55857","Gene"
"RLBP1",,"entrez.6017","true",,,"true","entrez.6017","Gene"
"PRPH2",,"entrez.5961","true",,,"true","entrez.5961","Gene"
"IDH3B",,"entrez.3420","true",,,"true","entrez.3420","Gene"
"NEK2",,"entrez.4751","true",,,"true","entrez.4751","Gene"
,,"entrez.55975","true",,,"true","entrez.55975","Gene"
,,"entrez.55734",,,,"false","entrez.55734","Gene"
"GRK2",,"entrez.156",,,,"false","entrez.156","Gene"
,,"entrez.138050","true",,,"true","entrez.138050","Gene"
"RHO",,"entrez.6010","true",,,"true","entrez.6010","Gene"
"OPN1LW",,"entrez.5956","true",,,"true","entrez.5956","Gene"
"RBP4",,"entrez.5950","true",,,"true","entrez.5950","Gene"
"PDE6B",,"entrez.5158","true",,,"true","entrez.5158","Gene"
,,"entrez.55722",,,,"false","entrez.55722","Gene"
,,"entrez.54870",,,,"false","entrez.54870","Gene"
,,"entrez.102724428",,,,"false","entrez.102724428","Gene"
"RDH5",,"entrez.5959",,,,"false","entrez.5959","Gene"
"IDH3A",,"entrez.3419","true",,,"true","entrez.3419","Gene"
"UBE2N",,"entrez.7334",,,,"false","entrez.7334","Gene"
"HK1",,"entrez.3098","true",,,"true","entrez.3098","Gene"
,,"entrez.284131",,,,"false","entrez.284131","Gene"
,,"entrez.84868",,,,"false","entrez.84868","Gene"
"RPE65",,"entrez.6121","true",,,"true","entrez.6121","Gene"
,,"entrez.83538",,,,"false","entrez.83538","Gene"
"CCL18",,"entrez.6362",,,,"false","entrez.6362","Gene"
,,"entrez.118142757",,,,"false","entrez.118142757","Gene"
"SPTB",,"entrez.6710",,,,"false","entrez.6710","Gene"
,,"entrez.84839","true",,,"true","entrez.84839","Gene"
"PLXND1",,"entrez.23129",,,,"false","entrez.23129","Gene"
"CXCL14",,"entrez.9547",,,,"false","entrez.9547","Gene"
,,"entrez.55515",,,,"false","entrez.55515","Gene"
,,"entrez.149647","true",,,"true","entrez.149647","Gene"
,,"entrez.114902","true",,,"true","entrez.114902","Gene"
,,"entrez.121793",,,,"false","entrez.121793","Gene"
"HPCA",,"entrez.3208",,,,"false","entrez.3208","Gene"
"DHX38",,"entrez.9785","true",,,"true","entrez.9785","Gene"
"ARHGEF18",,"entrez.23370","true",,,"true","entrez.23370","Gene"
"CNGA3",,"entrez.1261","true",,,"true","entrez.1261","Gene"
"FSCN2",,"entrez.25794","true",,,"true","entrez.25794","Gene"
,,"entrez.64225",,,,"false","entrez.64225","Gene"
,,"entrez.26525",,,,"false","entrez.26525","Gene"
"MYO7A",,"entrez.4647",,,,"false","entrez.4647","Gene"
"CNGA1",,"entrez.1259","true",,,"true","entrez.1259","Gene"
,,"entrez.92211","true",,,"true","entrez.92211","Gene"
"CNGB1",,"entrez.1258","true",,,"true","entrez.1258","Gene"
"USH1C",,"entrez.10083",,,,"false","entrez.10083","Gene"
"AHR",,"entrez.196","true",,,"true","entrez.196","Gene"
,,"entrez.55624","true",,,"true","entrez.55624","Gene"
,,"entrez.56952","true",,,"true","entrez.56952","Gene"
"ABHD12",,"entrez.26090","true",,,"true","entrez.26090","Gene"
,,"entrez.64218","true",,,"true","entrez.64218","Gene"
,,"entrez.126789",,,,"false","entrez.126789","Gene"
,,"entrez.57010",,,,"false","entrez.57010","Gene"
"ABCA4",,"entrez.24","true",,,"true","entrez.24","Gene"
"CTH",,"entrez.1491",,,,"false","entrez.1491","Gene"
"KEL",,"entrez.3792",,,,"false","entrez.3792","Gene"
"SNRNP200",,"entrez.23020","true",,,"true","entrez.23020","Gene"
"UNC119",,"entrez.9094","true",,,"true","entrez.9094","Gene"
"Imatinib","approved","drugbank.DB00619",,"14","0.38095238095238093","false","drugbank.DB00619","Drug"
"Ethanol","approved","drugbank.DB00898",,"31","0.3418013856812933","false","drugbank.DB00898","Drug"
"Dipyridamole","approved","drugbank.DB00975",,"32","0.34022988505747126","false","drugbank.DB00975","Drug"
"Nintedanib","approved","drugbank.DB09079",,"6","0.4060356652949246","false","drugbank.DB09079","Drug"
"Pseudoephedrine","approved","drugbank.DB00852",,"27","0.3453908984830805","false","drugbank.DB00852","Drug"
"Hydroflumethiazide","approved, investigational, withdrawn","drugbank.DB00774",,"41","0.3356009070294785","false","drugbank.DB00774","Drug"
"Sunitinib","approved, investigational","drugbank.DB01268",,"3","0.4111111111111111","false","drugbank.DB01268","Drug"
"Crizotinib","approved, investigational","drugbank.DB08865",,"8","0.39361702127659576","false","drugbank.DB08865","Drug"
"Erlotinib","approved, investigational","drugbank.DB00530",,"13","0.38144329896907214","false","drugbank.DB00530","Drug"
"Felodipine","approved, investigational","drugbank.DB01023",,"27","0.3453908984830805","false","drugbank.DB01023","Drug"
"Neratinib","approved, investigational","drugbank.DB11828",,"10","0.38896189224704336","false","drugbank.DB11828","Drug"
"Miconazole","approved, investigational, vet_approved","drugbank.DB01110",,"17","0.3645320197044335","false","drugbank.DB01110","Drug"
"Hydralazine","approved","drugbank.DB01275",,"39","0.33674630261660976","false","drugbank.DB01275","Drug"
"Dronedarone","approved","drugbank.DB04855",,"37","0.3378995433789954","false","drugbank.DB04855","Drug"
"Calcium Phosphate","approved","drugbank.DB11348",,"20","0.3553421368547419","false","drugbank.DB11348","Drug"
,"","drugbank.DB13961",,"34","0.3394495412844037","false","drugbank.DB13961","Drug"
,"","drugbank.DB12010",,"1","0.4314868804664723","false","drugbank.DB12010","Drug"
"Enflurane","approved, investigational, vet_approved","drugbank.DB00228",,"23","0.3490566037735849","false","drugbank.DB00228","Drug"
"Amiodarone","approved, investigational","drugbank.DB01118",,"19","0.3561973525872443","false","drugbank.DB01118","Drug"
"Nicardipine","approved, investigational","drugbank.DB00622",,"33","0.33983926521239954","false","drugbank.DB00622","Drug"
"Nifedipine","approved","drugbank.DB01115",,"40","0.33598183881952326","false","drugbank.DB01115","Drug"
"Spironolactone","approved","drugbank.DB00421",,"21","0.354916067146283","false","drugbank.DB00421","Drug"
"Verapamil","approved","drugbank.DB00661",,"28","0.34418604651162793","false","drugbank.DB00661","Drug"
"Topiramate","approved","drugbank.DB00273",,"41","0.3356009070294785","false","drugbank.DB00273","Drug"
"Primaquine","approved","drugbank.DB01087",,"35","0.33867276887871856","false","drugbank.DB01087","Drug"
"Orlistat","approved, investigational","drugbank.DB01083",,"38","0.33712984054669703","false","drugbank.DB01083","Drug"
"Nilotinib","approved, investigational","drugbank.DB04868",,"15","0.37373737373737376","false","drugbank.DB04868","Drug"
"Xanthinol","approved, withdrawn","drugbank.DB09092",,"29","0.3429895712630359","false","drugbank.DB09092","Drug"
,"","drugbank.DB14481",,"20","0.3553421368547419","false","drugbank.DB14481","Drug"
"Copper","approved, investigational","drugbank.DB09130",,"2","0.4192634560906516","false","drugbank.DB09130","Drug"
"Calcium citrate","approved, investigational","drugbank.DB11093",,"20","0.3553421368547419","false","drugbank.DB11093","Drug"
"Tretinoin","approved, investigational, nutraceutical","drugbank.DB00755",,"22","0.34946871310507677","false","drugbank.DB00755","Drug"
"Vandetanib","approved","drugbank.DB05294",,"11","0.38794233289646135","false","drugbank.DB05294","Drug"
"Pyridoxal phosphate","approved, investigational, nutraceutical","drugbank.DB00114",,"27","0.3453908984830805","false","drugbank.DB00114","Drug"
"NADH","approved, nutraceutical","drugbank.DB00157",,"16","0.37279596977329976","false","drugbank.DB00157","Drug"
"Sorafenib","approved, investigational","drugbank.DB00398",,"9","0.39050131926121373","false","drugbank.DB00398","Drug"
"Bepridil","approved, withdrawn","drugbank.DB01244",,"36","0.3382857142857143","false","drugbank.DB01244","Drug"
"Nitrendipine","approved, investigational","drugbank.DB01054",,"39","0.33674630261660976","false","drugbank.DB01054","Drug"
"Dabrafenib","approved, investigational","drugbank.DB08912",,"29","0.3429895712630359","false","drugbank.DB08912","Drug"
"Vitamin A","approved, nutraceutical, vet_approved","drugbank.DB00162",,"24","0.34823529411764703","false","drugbank.DB00162","Drug"
"Bosutinib","approved","drugbank.DB06616",,"5","0.4065934065934066","false","drugbank.DB06616","Drug"
"Midostaurin","approved, investigational","drugbank.DB06595",,"4","0.4099722991689751","false","drugbank.DB06595","Drug"
"Sildenafil","approved, investigational","drugbank.DB00203",,"30","0.3421965317919075","false","drugbank.DB00203","Drug"
"Dobutamine","approved","drugbank.DB00841",,"18","0.36097560975609755","false","drugbank.DB00841","Drug"
"Caffeine","approved","drugbank.DB00201",,"26","0.34619883040935673","false","drugbank.DB00201","Drug"
"Ranolazine","approved, investigational","drugbank.DB00243",,"39","0.33674630261660976","false","drugbank.DB00243","Drug"
"Dasatinib","approved, investigational","drugbank.DB01254",,"7","0.4032697547683924","false","drugbank.DB01254","Drug"
"Pazopanib","approved","drugbank.DB06589",,"12","0.38642297650130547","false","drugbank.DB06589","Drug"
"Axitinib","approved, investigational","drugbank.DB06626",,"12","0.38642297650130547","false","drugbank.DB06626","Drug"
"Dequalinium","approved, investigational","drugbank.DB04209",,"25","0.3474178403755869","false","drugbank.DB04209","Drug"
